2026-06-26 19:13:32.049 | WARNING  | core.llm_client:complete:136 - LLM error (heavy/llama-3.3-70b-versatile): litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"} — retrying...
2026-06-26 19:13:36.550 | ERROR    | core.llm_client:complete:141 - LLM [heavy] failed after 3 attempts: litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"}
2026-06-26 19:13:36.551 | INFO     | agents.autonomous_agent:run:257 - [ReAct:recon] Thought: LLM unavailable — skipping step
2026-06-26 19:13:36.552 | INFO     | agents.autonomous_agent:run:258 - [ReAct:recon] Action: none({})
2026-06-26 19:13:36.554 | INFO     | agents.autonomous_agent:run:226 - [ReAct:recon] Step 4/6
2026-06-26 19:13:36.576 | WARNING  | core.llm_client:complete:136 - LLM error (heavy/llama-3.3-70b-versatile): litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"} — retrying...
2026-06-26 19:13:38.093 | WARNING  | core.llm_client:complete:136 - LLM error (heavy/llama-3.3-70b-versatile): litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"} — retrying...
2026-06-26 19:13:41.109 | WARNING  | core.llm_client:complete:136 - LLM error (heavy/llama-3.3-70b-versatile): litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"} — retrying...
2026-06-26 19:13:45.610 | ERROR    | core.llm_client:complete:141 - LLM [heavy] failed after 3 attempts: litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"}
2026-06-26 19:13:45.610 | INFO     | agents.autonomous_agent:run:257 - [ReAct:recon] Thought: LLM unavailable — skipping step
2026-06-26 19:13:45.610 | INFO     | agents.autonomous_agent:run:258 - [ReAct:recon] Action: none({})
2026-06-26 19:13:45.611 | INFO     | agents.autonomous_agent:run:226 - [ReAct:recon] Step 5/6
2026-06-26 19:13:45.634 | WARNING  | core.llm_client:complete:136 - LLM error (heavy/llama-3.3-70b-versatile): litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"} — retrying...
2026-06-26 19:13:47.160 | WARNING  | core.llm_client:complete:136 - LLM error (heavy/llama-3.3-70b-versatile): litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"} — retrying...
2026-06-26 19:13:50.182 | WARNING  | core.llm_client:complete:136 - LLM error (heavy/llama-3.3-70b-versatile): litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"} — retrying...
2026-06-26 19:13:54.683 | ERROR    | core.llm_client:complete:141 - LLM [heavy] failed after 3 attempts: litellm.APIConnectionError: OllamaException - {"error":"model 'llama-3.3-70b-versatile' not found"}
2026-06-26 19:13:54.684 | INFO     | agents.autonomous_agent:run:257 - [ReAct:recon] Thought: LLM unavailable — skipping step
2026-06-26 19:13:54.684 | INFO     | agents.autonomous_agent:run:258 - [ReAct:recon] Action: none({})
2026-06-26 19:13:54.685 | INFO     | agents.autonomous_agent:run:226 - [ReAct:recon] Step 6/6
