2026-06-24 13:16:54.052 | INFO     | knowledge.qdrant.rag_retriever:__init__:62 - Loading embedding model: BAAI/bge-small-en-v1.5
2026-06-24 13:17:06.295 | SUCCESS  | knowledge.qdrant.rag_retriever:_init_clients:92 - RAG ready — 10/10 collections: ['mitre_attack', 'exploitdb', 'metasploit', 'atomic_red_team', 'sigma_rules', 'kali_tools', 'cisa_advisories', 'reverse_shells', 'mitre_ics', 'payloads']
2026-06-24 13:17:06.296 | SUCCESS  | agents.orchestrator.campaign_orchestrator:__init__:52 - Orchestrator ready.
2026-06-24 13:17:06.520 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_ics: slice(None, 2000, None)
2026-06-24 13:17:06.531 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:17:07.466 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 769 chars
2026-06-24 13:17:07.504 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:17:07.515 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on cisa_advisories: slice(None, 2000, None)
2026-06-24 13:17:07.961 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 413 chars
2026-06-24 13:17:07.962 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Scan the target network range to discover active hosts.
2026-06-24 13:17:42.908 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 680 chars
2026-06-24 13:17:42.908 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: approve | confidence=0.9
2026-06-24 13:17:42.908 | INFO     | core.decision_engine:debate_and_decide:123 - Consensus reached in round 1
2026-06-24 13:17:48.846 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 204 chars
2026-06-24 13:17:48.872 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on cisa_advisories: slice(None, 2000, None)
2026-06-24 13:17:48.881 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:17:52.630 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 526 chars
2026-06-24 13:17:52.630 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Run a comprehensive vulnerability scan using Nmap with vulnerability detection scripts.
2026-06-24 13:17:58.370 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 697 chars
2026-06-24 13:17:58.370 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: modify | confidence=0.85
2026-06-24 13:18:06.229 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 521 chars
